ensembl	HUGO	ID
ENSG00000229455	RPS10P18	37096
ENSG00000233135	RPS27P18	37114
ENSG00000235264	RPL5P28	37209
ENSG00000213147	RPL23AP60	37274
ENSG00000243663	RPS4XP14	37314
ENSG00000242661	RPS3AP43	37542
ENSG00000244131	RPSAP51	37565
ENSG00000271215	RPL21P136	37713
ENSG00000234498	RPL13AP20	37726
ENSG00000244573	RPL30P11	37755
ENSG00000242991	RPL7P40	37805
ENSG00000227525	RPL7P6	37820
ENSG00000241451	RPS27P22	37879
ENSG00000231788	RPL31P50	38034
ENSG00000229014	RPL30P13	38135
ENSG00000240443	RPS10P20	38303
ENSG00000241146	RPL7P41	38517
ENSG00000197728	RPS26	38699
ENSG00000229117	RPL41	38704
ENSG00000242990	RPL13AP23	38793
ENSG00000241423	RPL21P103	38823
ENSG00000244390	RPS6P22	38829
ENSG00000242922	RPL21P104	38850
ENSG00000213363	RPS3P6	38852
ENSG00000241941	RPL32P26	38867
ENSG00000139239	RPL14P1	38872
ENSG00000242087	RPL36AP41	38893
ENSG00000243024	RPS11P6	38902
ENSG00000243020	RPL7P39	38924
ENSG00000241749	RPSAP52	38942
ENSG00000213343	RPL21P18	38950
ENSG00000244432	RPL39P28	38986
ENSG00000241825	RPL7P42	39005
ENSG00000241045	RPL7P43	39139
ENSG00000239473	RPL7P38	39178
ENSG00000213270	RPL6P25	39213
ENSG00000242850	RPL23AP68	39239
ENSG00000240721	RPS4XP15	39247
ENSG00000239201	RPL21P106	39308
ENSG00000256393	RPL41P5	39326
ENSG00000214203	RPS4XP1	39457
ENSG00000239413	RPS27P23	39487
ENSG00000213442	RPL18AP3	39555
ENSG00000240631	RPL30P12	39592
ENSG00000241680	RPL31P49	39685
ENSG00000241286	RPL29P25	39699
ENSG00000244060	RPS2P41	39728
ENSG00000213152	RPL7AP60	39746
ENSG00000089009	RPL6	39748
ENSG00000242461	RPS15AP32	39756
ENSG00000240342	RPS2P5	39859
ENSG00000241590	RPL17P37	39866
ENSG00000226729	RPL35AP30	39893
ENSG00000089157	RPLP0	39902
ENSG00000240925	RPS20P31	39906
ENSG00000239881	RPS27P25	39914
ENSG00000219355	RPL31P52	39920
ENSG00000241030	RPL29P24	39927
ENSG00000242137	RPL11P5	39930
ENSG00000244585	RPL12P33	39945
ENSG00000214760	RPL21P1	39994
ENSG00000239215	RPL27P12	40054
ENSG00000241129	RPL22P19	40090
ENSG00000226356	RPS6P20	40221
ENSG00000243499	RPS6P21	40239
ENSG00000232888	RPS11P5	40295
ENSG00000240991	RPL23AP67	40314
ENSG00000213621	RPSAP54	40420
ENSG00000180172	RPS12P23	40425
ENSG00000226525	RPS7P10	40447
ENSG00000237952	RPL7AP73	40459
ENSG00000232163	RPLP1P13	40477
ENSG00000225404	RPL26P34	40509
ENSG00000232858	RPL34P27	40517
ENSG00000235315	RPL23AP69	40527
ENSG00000234031	RPS3AP44	40550
ENSG00000223782	RPS21P8	40554
ENSG00000218198	RPS20P32	40555
ENSG00000122026	RPL21	40562
ENSG00000232378	RPL29P28	40725
ENSG00000230283	RPS12P24	40736
ENSG00000271429	RPL17P51	40773
ENSG00000226093	RPS28P8	40818
ENSG00000232540	RPL36P19	40838
ENSG00000229423	RPL27AP8	40929
ENSG00000214359	RPL18P10	40994
ENSG00000223676	RPL34P26	40998
ENSG00000214878	RPL5P31	41010
